Entity,Code,Year,EV machine tech,EV storage,EV management,EV communication tech,EV charging stations
Africa,,2001,3,,3,1,2
Africa,,2003,1,2,1,,
Africa,,2004,3,4,2,1,4
Africa,,2005,2,,,2,1
Africa,,2006,2,5,4,5,5
Africa,,2007,9,11,9,3,7
Africa,,2008,4,2,2,2,1
Africa,,2009,1,5,3,,4
Africa,,2010,4,8,3,1,5
Africa,,2011,18,18,12,5,32
Africa,,2012,20,24,9,5,26
Africa,,2013,12,13,8,5,7
Africa,,2014,13,15,4,5,19
Africa,,2015,7,7,4,4,5
Africa,,2016,4,4,,2,5
Africa,,2017,5,5,2,3,5
Africa,,2018,5,9,4,7,13
Africa,,2019,4,9,3,5,10
Africa,,2002,,1,2,,1
Africa,,2000,,,2,1,1
Argentina,ARG,2003,2,3,,1,4
Argentina,ARG,2006,1,1,,1,3
Argentina,ARG,2009,6,10,1,,6
Argentina,ARG,2010,14,17,5,11,32
Argentina,ARG,2011,1,3,,,1
Argentina,ARG,2012,1,4,,,4
Argentina,ARG,2013,3,5,2,2,6
Argentina,ARG,2015,2,2,1,1,2
Argentina,ARG,2016,1,1,,,1
Argentina,ARG,2017,2,9,2,3,3
Argentina,ARG,2018,2,2,,2,4
Argentina,ARG,2000,,1,,,1
Argentina,ARG,2001,,2,,3,1
Argentina,ARG,2002,,1,,,1
Argentina,ARG,2007,,1,,,1
Argentina,ARG,2008,,1,,,
Argentina,ARG,2019,,1,1,1,
Argentina,ARG,2005,,,1,,
Asia,,2000,341,513,391,68,416
Asia,,2001,398,618,436,98,442
Asia,,2002,426,675,495,89,523
Asia,,2003,566,771,655,117,740
Asia,,2004,537,799,598,105,726
Asia,,2005,708,1009,698,124,685
Asia,,2006,1161,1778,1028,201,1037
Asia,,2007,1482,1879,1200,283,1163
Asia,,2008,1772,2330,1295,433,1491
Asia,,2009,1850,2856,1398,449,1910
Asia,,2010,2490,4129,1795,810,2903
Asia,,2011,3427,5985,2701,1303,4053
Asia,,2012,3510,6009,2713,1415,4182
Asia,,2013,3100,5613,2399,1059,3584
Asia,,2014,3135,5700,2553,1156,3681
Asia,,2015,2959,6125,2513,1105,3742
Asia,,2016,3799,8623,2993,1589,6616
Asia,,2017,5335,12270,3483,2152,10613
Asia,,2018,7330,13861,3718,2691,15795
Asia,,2019,8174,16576,3486,2951,19421
Asia,,2020,5451,12835,2032,1846,15373
Asia,,2021,368,930,149,119,1146
Australia,AUS,2000,31,33,27,11,33
Australia,AUS,2001,37,62,27,14,49
Australia,AUS,2002,30,46,18,11,29
Australia,AUS,2003,76,100,46,13,80
Australia,AUS,2004,12,18,12,4,20
Australia,AUS,2005,22,29,27,8,28
Australia,AUS,2006,27,27,21,8,28
Australia,AUS,2007,33,31,18,6,33
Australia,AUS,2008,26,42,22,9,38
Australia,AUS,2009,41,57,36,20,60
Australia,AUS,2010,70,77,32,17,89
Australia,AUS,2011,72,85,56,20,81
Australia,AUS,2012,99,99,51,49,143
Australia,AUS,2013,50,63,28,18,60
Australia,AUS,2014,46,50,32,20,51
Australia,AUS,2015,39,53,20,16,42
Australia,AUS,2016,35,54,23,16,56
Australia,AUS,2017,56,72,36,22,84
Australia,AUS,2018,69,108,30,34,136
Australia,AUS,2019,55,102,20,17,115
Australia,AUS,2020,26,44,12,9,48
Australia,AUS,2021,10,16,6,5,23
Austria,AUT,2000,15,20,19,3,12
Austria,AUT,2001,21,27,14,6,19
Austria,AUT,2002,27,35,17,7,26
Austria,AUT,2003,31,35,18,6,29
Austria,AUT,2004,16,19,7,2,14
Austria,AUT,2005,21,19,13,2,17
Austria,AUT,2006,36,41,28,7,38
Austria,AUT,2007,47,55,37,2,37
Austria,AUT,2008,37,49,27,14,39
Austria,AUT,2009,35,42,16,7,29
Austria,AUT,2010,24,28,10,5,25
Austria,AUT,2011,6,11,1,1,9
Austria,AUT,2012,9,15,9,2,7
Austria,AUT,2013,4,5,1,,4
Austria,AUT,2014,5,7,1,4,10
Austria,AUT,2015,6,6,4,2,5
Austria,AUT,2016,9,7,2,1,9
Austria,AUT,2017,7,11,2,1,15
Austria,AUT,2018,5,11,,,11
Austria,AUT,2019,4,9,6,,5
Belgium,BEL,2009,1,1,2,,4
Belgium,BEL,2011,2,2,1,1,5
Belgium,BEL,2013,1,1,1,1,1
Belgium,BEL,2014,1,1,2,,2
Belgium,BEL,2017,2,2,,1,4
Belgium,BEL,2018,3,5,1,1,8
Belgium,BEL,2019,3,3,1,1,5
Belgium,BEL,2000,,1,,,2
Belgium,BEL,2008,,1,,,1
Belgium,BEL,2016,,2,,,
Belgium,BEL,2012,,,1,,
Brazil,BRA,2000,5,5,4,1,2
Brazil,BRA,2001,5,9,4,7,6
Brazil,BRA,2002,7,10,3,2,5
Brazil,BRA,2003,16,15,11,5,13
Brazil,BRA,2004,8,10,8,2,11
Brazil,BRA,2005,15,18,13,2,13
Brazil,BRA,2006,26,29,18,6,24
Brazil,BRA,2007,32,42,33,10,42
Brazil,BRA,2008,46,51,24,11,47
Brazil,BRA,2009,50,60,26,10,64
Brazil,BRA,2010,100,133,55,30,132
Brazil,BRA,2011,86,118,53,32,115
Brazil,BRA,2012,72,101,46,34,110
Brazil,BRA,2013,75,88,42,21,87
Brazil,BRA,2014,57,68,30,29,83
Brazil,BRA,2015,47,64,45,14,59
Brazil,BRA,2016,51,82,35,18,75
Brazil,BRA,2017,47,86,45,15,79
Brazil,BRA,2018,46,77,33,24,78
Brazil,BRA,2019,33,58,24,12,69
Brazil,BRA,2020,4,9,4,,7
Bulgaria,BGR,2001,1,,,,
Bulgaria,BGR,2012,1,1,,,1
Bulgaria,BGR,2013,2,,,,1
Bulgaria,BGR,2014,2,,,,
Bulgaria,BGR,2015,1,,,,
Bulgaria,BGR,2016,1,,,,
Bulgaria,BGR,2005,,,1,,
Bulgaria,BGR,2011,,,,,2
Bulgaria,BGR,2018,,,,,1
Canada,CAN,2000,34,40,33,10,28
Canada,CAN,2001,38,48,30,12,26
Canada,CAN,2002,49,56,30,8,39
Canada,CAN,2003,32,40,29,11,35
Canada,CAN,2004,21,34,19,4,35
Canada,CAN,2005,43,60,43,5,37
